Augmentaion,Dataset size,Algo,n-trees,sys-MAE,dia-MAE,Top N,Second run,Bootstrap,Hisorical
None,(224, 13),xgb,100,9.991,8.589,bed_time; wo_calories; steps; active_calories; distance_walking,False,True
None,(224, 13),xgb,100,12.179,9.763,distance_walking; steps; active_calories; bed_time; wo_calories,False,True
K-roll,(275, 13),xgb,100,10.113,8.327,bed_time; active_calories; wo_calories; awake_count; steps,False,True
K-roll,(275, 13),xgb,100,11.2,9.371,steps; active_calories; awake_count; wo_calories; bed_time,False,True
KNN-intra,(224, 13),xgb,100,10.634,9.188,awake_count; wo_calories; bed_time; steps; sleep_minutes,False,True
KNN-intra,(224, 13),xgb,100,11.228,9.768,steps; wo_calories; sleep_minutes; bed_time; awake_count,False,True
KNN-inter,(224, 13),xgb,100,10.411,7.723,awake_count; sleep_minutes; steps; wo_calories; active_calories,False,True
KNN-inter,(224, 13),xgb,100,12.54,9.549,active_calories; wo_calories; sleep_minutes; steps; awake_count,False,True
None,(193, 13),xgb,100,15.0,1.0,awake_count; active_calories; wo_calories; sleep_minutes; active_minutes,False,True
K-roll,(245, 13),xgb,100,9.0,2.0,awake_count; wo_calories; sleep_minutes; steps; floors,False,True
KNN-intra,(193, 13),xgb,100,12.19,7.357,awake_count; wo_calories; active_calories; bed_time; distance_cycling,False,True
KNN-inter,(193, 13),xgb,100,9.713,7.831,active_calories; awake_count; sleep_minutes; bed_time; wo_calories,False,True
None,(224, 13),xgb,100,10.942,8.795,awake_count; wo_calories; bed_time; sleep_minutes; steps,False,True
K-roll,(275, 13),xgb,100,10.084,8.385,bed_time; wo_calories; steps; awake_count; active_calories,False,True
KNN-intra,(224, 13),xgb,100,10.165,8.388,awake_count; bed_time; wo_calories; steps; active_calories,False,True
KNN-inter,(224, 13),xgb,100,9.821,8.473,steps; bed_time; awake_count; wo_calories; sleep_minutes,False,True
None,(224, 13),xgb,100,9.607,7.58,awake_count; bed_time; steps; active_calories; sleep_minutes,False,True
K-roll,(275, 13),xgb,100,9.985,7.498,awake_count; sleep_minutes; bed_time; steps; active_calories,False,True
KNN-intra,(224, 13),xgb,100,10.513,7.862,awake_count; active_calories; wo_calories; bed_time; steps,False,True
KNN-inter,(224, 13),xgb,100,10.732,7.438,active_calories; steps; bed_time; wo_calories; awake_count,False,True
None,(193, 13),xgb,100,15.0,1.0,awake_count; active_calories; wo_calories; sleep_minutes; active_minutes,False,True
K-roll,(245, 13),xgb,100,9.0,2.0,awake_count; wo_calories; sleep_minutes; steps; floors,False,True
KNN-intra,(193, 13),xgb,100,12.19,7.357,awake_count; wo_calories; active_calories; bed_time; distance_cycling,False,True
KNN-inter,(193, 13),xgb,100,9.713,7.831,active_calories; awake_count; sleep_minutes; bed_time; wo_calories,False,True
None,(224, 13),xgb,100,10.018,7.978,awake_count; sleep_minutes; wo_calories; active_calories; bed_time,False,True
K-roll,(275, 13),xgb,100,10.233,8.269,awake_count; bed_time; wo_calories; steps; floors,False,True
KNN-intra,(224, 13),xgb,100,9.741,7.674,awake_count; bed_time; wo_calories; steps; sleep_minutes,False,True
KNN-inter,(224, 13),xgb,100,10.031,8.714,sleep_minutes; awake_count; wo_calories; steps; bed_time,False,True
None,(193, 13),xgb,100,15.0,1.0,awake_count; active_calories; wo_calories; sleep_minutes; active_minutes,False,True
K-roll,(245, 13),xgb,100,9.0,2.0,awake_count; wo_calories; sleep_minutes; steps; floors,False,True
KNN-intra,(193, 13),xgb,100,12.19,7.357,awake_count; wo_calories; active_calories; bed_time; distance_cycling,False,True
KNN-inter,(193, 13),xgb,100,9.713,7.831,active_calories; awake_count; sleep_minutes; bed_time; wo_calories,False,True
None,(224, 13),xgb,100,10.433,8.0,awake_count; bed_time; wo_calories; sleep_minutes; steps,False,True
K-roll,(275, 13),xgb,100,10.778,7.975,awake_count; bed_time; wo_calories; steps; active_calories,False,True
KNN-intra,(224, 13),xgb,100,9.554,8.143,awake_count; bed_time; wo_calories; steps; sleep_minutes,False,True
KNN-inter,(224, 13),xgb,100,10.406,9.013,steps; sleep_minutes; wo_calories; bed_time; awake_count,False,True
None,(193, 13),xgb,100,15.0,1.0,awake_count; active_calories; wo_calories; sleep_minutes; active_minutes,False,True
K-roll,(245, 13),xgb,100,9.0,2.0,awake_count; wo_calories; sleep_minutes; steps; floors,False,True
KNN-intra,(193, 13),xgb,100,12.19,7.357,awake_count; wo_calories; active_calories; bed_time; distance_cycling,False,True
KNN-inter,(193, 13),xgb,100,9.713,7.831,active_calories; awake_count; sleep_minutes; bed_time; wo_calories,False,True
None,(224, 13),xgb,100,10.25,8.192,awake_count; wo_calories; sleep_minutes; steps; active_calories,False,True
K-roll,(275, 13),xgb,100,10.273,8.029,awake_count; wo_calories; steps; bed_time; active_calories,False,True
KNN-intra,(224, 13),xgb,100,10.625,7.183,awake_count; wo_calories; bed_time; steps; active_calories,False,True
KNN-inter,(224, 13),xgb,100,10.491,8.522,steps; wo_calories; awake_count; sleep_minutes; bed_time,False,True
None,(193, 13),xgb,100,15.0,1.0,awake_count; active_calories; wo_calories; sleep_minutes; active_minutes,False,True
K-roll,(245, 13),xgb,100,9.0,2.0,awake_count; wo_calories; sleep_minutes; steps; floors,False,True
KNN-intra,(193, 13),xgb,100,12.19,7.357,awake_count; wo_calories; active_calories; bed_time; distance_cycling,False,True
KNN-inter,(193, 13),xgb,100,9.713,7.831,active_calories; awake_count; sleep_minutes; bed_time; wo_calories,False,True
None,(224, 13),xgb,100,10.228,7.647,active_minutes; wo_calories; steps; active_calories; sleep_minutes,False,True
K-roll,(275, 13),xgb,100,10.225,7.52,bed_time; wo_calories; steps; active_calories; sleep_minutes,False,True
KNN-intra,(224, 13),xgb,100,10.201,7.08,awake_count; wo_calories; steps; bed_time; active_calories,False,True
KNN-inter,(224, 13),xgb,100,10.491,8.634,steps; awake_count; wo_calories; sleep_minutes; bed_time,False,True
None,(193, 13),xgb,100,15.0,1.0,awake_count; active_calories; wo_calories; sleep_minutes; active_minutes,False,True
K-roll,(245, 13),xgb,100,9.0,2.0,awake_count; wo_calories; sleep_minutes; steps; floors,False,True
KNN-intra,(193, 13),xgb,100,12.19,7.357,awake_count; wo_calories; active_calories; bed_time; distance_cycling,False,True
KNN-inter,(193, 13),xgb,100,9.713,7.831,active_calories; awake_count; sleep_minutes; bed_time; wo_calories,False,True
None,(224, 13),xgb,100,10.25,8.585,wo_calories; active_calories; awake_count; steps; bed_time,False,True
K-roll,(275, 13),xgb,100,10.353,8.509,bed_time; wo_calories; steps; awake_count; sleep_minutes,False,True
KNN-intra,(224, 13),xgb,100,9.987,7.826,awake_count; wo_calories; bed_time; steps; sleep_minutes,False,True
KNN-inter,(224, 13),xgb,100,10.308,8.491,steps; wo_calories; awake_count; sleep_minutes; bed_time,False,True
None,(193, 13),xgb,100,15.0,1.0,awake_count; active_calories; wo_calories; sleep_minutes; active_minutes,False,True
K-roll,(245, 13),xgb,100,9.0,2.0,awake_count; wo_calories; sleep_minutes; steps; floors,False,True
KNN-intra,(193, 13),xgb,100,12.19,7.357,awake_count; wo_calories; active_calories; bed_time; distance_cycling,False,True
KNN-inter,(193, 13),xgb,100,9.713,7.831,active_calories; awake_count; sleep_minutes; bed_time; wo_calories,False,True
None,(224, 13),xgb,100,10.246,8.366,awake_count; wo_calories; bed_time; active_calories; sleep_minutes,False,True
K-roll,(275, 13),xgb,100,9.731,8.513,bed_time; sleep_minutes; steps; wo_calories; active_calories,False,True
KNN-intra,(224, 13),xgb,100,10.147,7.844,awake_count; bed_time; wo_calories; sleep_minutes; steps,False,True
KNN-inter,(224, 13),xgb,100,10.17,8.464,sleep_minutes; awake_count; steps; bed_time; wo_calories,False,True
None,(193, 13),xgb,100,15.0,1.0,awake_count; active_calories; wo_calories; sleep_minutes; active_minutes,False,True
K-roll,(245, 13),xgb,100,9.0,2.0,awake_count; wo_calories; sleep_minutes; steps; floors,False,True
None,(224, 13),xgb,100,8.353,8.688,awake_count; bed_time; steps; wo_calories; sleep_minutes,False,True
K-roll,(275, 13),xgb,100,10.749,8.927,awake_count; wo_calories; bed_time; steps; active_calories,False,True
KNN-intra,(224, 13),xgb,100,10.246,7.161,awake_count; bed_time; wo_calories; steps; sleep_minutes,False,True
KNN-inter,(224, 13),xgb,100,10.027,8.853,active_calories; awake_count; bed_time; sleep_minutes; wo_calories,False,True
None,(193, 13),xgb,100,15.0,1.0,awake_count; active_calories; wo_calories; sleep_minutes; active_minutes,False,True
K-roll,(245, 13),xgb,100,9.0,2.0,awake_count; wo_calories; sleep_minutes; steps; floors,False,True
KNN-intra,(193, 13),xgb,100,12.19,7.357,awake_count; wo_calories; active_calories; bed_time; distance_cycling,False,True
KNN-inter,(193, 13),xgb,100,9.713,7.831,active_calories; awake_count; sleep_minutes; bed_time; wo_calories,False,True
None,(224, 13),xgb,100,10.446,10.107,bed_time; awake_count; wo_calories; active_calories; steps,False,True
K-roll,(275, 13),xgb,100,10.549,8.956,awake_count; bed_time; wo_calories; sleep_minutes; steps,False,True
KNN-intra,(224, 13),xgb,100,10.451,8.438,bed_time; awake_count; wo_calories; steps; heart_rate,False,True
KNN-inter,(224, 13),xgb,100,10.969,9.232,steps; heart_rate; active_calories; wo_calories; awake_count,False,True
None,(193, 13),xgb,100,15.0,1.0,awake_count; active_calories; wo_calories; heart_rate; sleep_minutes,False,True
K-roll,(245, 13),xgb,100,9.0,2.0,awake_count; wo_calories; sleep_minutes; heart_rate; steps,False,True
KNN-intra,(193, 13),xgb,100,12.19,7.357,awake_count; wo_calories; active_calories; bed_time; distance_cycling,False,True
KNN-inter,(193, 13),xgb,100,9.713,7.831,active_calories; awake_count; sleep_minutes; bed_time; heart_rate,False,True
None,(224, 13),xgb,100,9.92,7.915,awake_count; wo_calories; active_calories; steps; bed_time,False,True
K-roll,(275, 13),xgb,100,11.087,8.636,awake_count; bed_time; sleep_minutes; wo_calories; steps,False,True
KNN-intra,(224, 13),xgb,100,9.897,9.188,awake_count; wo_calories; sleep_minutes; bed_time; steps,False,True
KNN-inter,(224, 13),xgb,100,9.42,7.911,awake_count; wo_calories; steps; bed_time; active_calories,False,True
None,(193, 13),xgb,100,15.0,1.0,awake_count; active_calories; wo_calories; sleep_minutes; active_minutes,False,True
K-roll,(245, 13),xgb,100,9.0,2.0,awake_count; wo_calories; sleep_minutes; steps; floors,False,True
KNN-intra,(193, 13),xgb,100,12.19,7.357,awake_count; wo_calories; active_calories; bed_time; distance_cycling,False,True
KNN-inter,(193, 13),xgb,100,9.713,7.831,active_calories; awake_count; sleep_minutes; bed_time; wo_calories,False,True
baseline,(224, 13),xgb,100,10.812,7.754,awake_count; bed_time; steps; active_calories; wo_calories,False,True
kroll,(275, 13),xgb,100,10.945,8.105,awake_count; bed_time; steps; sleep_minutes; floors,False,True
knn-intra,(224, 13),xgb,100,9.768,7.777,awake_count; wo_calories; steps; bed_time; sleep_minutes,False,True
knn-inter,(224, 13),xgb,100,10.933,7.879,awake_count; sleep_minutes; steps; bed_time; wo_calories,False,True
baseline,(224, 13),xgb,100,10.862,8.929,awake_count; wo_calories; steps; sleep_minutes; distance_walking,False,True
kroll,(275, 13),xgb,100,10.476,8.076,bed_time; wo_calories; steps; active_calories; sleep_minutes,False,True
knn-intra,(224, 13),xgb,100,10.317,9.129,awake_count; bed_time; wo_calories; steps; active_calories,False,True
knn-inter,(224, 13),xgb,100,10.79,7.888,steps; bed_time; wo_calories; awake_count; sleep_minutes,False,True
baseline,(193, 13),xgb,100,15.0,1.0,awake_count; active_calories; wo_calories; sleep_minutes; active_minutes,False,True
kroll,(245, 13),xgb,100,9.0,2.0,awake_count; wo_calories; sleep_minutes; steps; floors,False,True
knn-intra,(193, 13),xgb,100,12.19,7.357,awake_count; wo_calories; active_calories; bed_time; distance_cycling,False,True
knn-inter,(193, 13),xgb,100,9.713,7.831,active_calories; awake_count; sleep_minutes; bed_time; wo_calories,False,True
baseline,(224, 13),xgb,100,9.491,9.0,wo_calories; sleep_minutes; bed_time; steps; awake_count,False,True
baseline,(224, 13),xgb,100,9.062,7.938,awake_count; bed_time; wo_calories; steps; active_calories,False,True
kroll,(275, 13),xgb,100,10.167,8.218,bed_time; wo_calories; awake_count; steps; sleep_minutes,False,True
knn-intra,(224, 13),xgb,100,10.857,8.054,awake_count; wo_calories; steps; bed_time; sleep_minutes,False,True
knn-inter,(224, 13),xgb,100,9.987,7.924,steps; active_calories; sleep_minutes; awake_count; wo_calories,False,True
baseline,(193, 13),xgb,100,15.0,1.0,awake_count; active_calories; wo_calories; sleep_minutes; active_minutes,False,True
kroll,(245, 13),xgb,100,9.0,2.0,awake_count; wo_calories; sleep_minutes; steps; floors,False,True
knn-intra,(193, 13),xgb,100,12.19,7.357,awake_count; wo_calories; active_calories; bed_time; distance_cycling,False,True
knn-inter,(193, 13),xgb,100,9.713,7.831,active_calories; awake_count; sleep_minutes; bed_time; wo_calories,False,True
baseline,(224, 13),xgb,100,9.821,7.732,bed_time; awake_count; wo_calories; steps; sleep_minutes,False,True
baseline,(224, 13),xgb,100,10.496,7.835,awake_count; wo_calories; bed_time; steps; sleep_minutes,False,True
baseline,(224, 13),xgb,100,10.223,7.902,awake_count; wo_calories; sleep_minutes; bed_time; steps,False,True
baseline,(224, 13),xgb,100,9.33,9.165,wo_calories; steps; active_calories; active_minutes; bed_time,False,True
baseline,(224, 13),xgb,100,12.241,9.612,steps; active_calories; bed_time; wo_calories; active_minutes,True,True
baseline,(224, 13),xgb,100,10.103,7.728,awake_count; wo_calories; steps; active_calories; bed_time,False,True
kroll,(275, 13),xgb,100,10.698,8.298,awake_count; wo_calories; steps; sleep_minutes; bed_time,False,True
knn-intra,(224, 13),xgb,100,10.147,8.192,awake_count; wo_calories; steps; active_calories; sleep_minutes,False,True
knn-inter,(224, 13),xgb,100,9.982,8.469,bed_time; awake_count; steps; sleep_minutes; wo_calories,False,True
baseline,(224, 13),xgb,100,10.871,8.692,awake_count; wo_calories; bed_time; steps; active_calories,False,True
kroll,(275, 13),xgb,100,9.404,6.775,wo_calories; bed_time; sleep_minutes; steps; awake_count,False,True
knn-intra,(224, 13),xgb,100,10.469,8.366,awake_count; bed_time; active_calories; wo_calories; steps,False,True
knn-inter,(224, 13),xgb,100,9.915,8.054,wo_calories; awake_count; steps; bed_time; sleep_minutes,False,True
baseline,(193, 13),xgb,100,15.0,1.0,awake_count; active_calories; wo_calories; sleep_minutes; active_minutes,False,True
kroll,(245, 13),xgb,100,9.0,2.0,awake_count; wo_calories; sleep_minutes; steps; floors,False,True
knn-intra,(193, 13),xgb,100,12.19,7.357,awake_count; wo_calories; active_calories; bed_time; distance_cycling,False,True
knn-inter,(193, 13),xgb,100,9.713,7.831,active_calories; awake_count; sleep_minutes; bed_time; wo_calories,False,True
baseline,(193, 13),xgb,100,15.0,1.0,awake_count; active_calories; wo_calories; sleep_minutes; active_minutes,False,True
kroll,(245, 13),xgb,100,9.0,2.0,awake_count; wo_calories; sleep_minutes; steps; floors,False,True
knn-intra,(193, 13),xgb,100,12.19,7.357,awake_count; wo_calories; active_calories; bed_time; distance_cycling,False,True
knn-inter,(193, 13),xgb,100,9.713,7.831,active_calories; awake_count; sleep_minutes; bed_time; wo_calories,False,True
baseline,(224, 13),xgb,100,10.344,8.906,awake_count; wo_calories; bed_time; steps; active_calories,False,True
kroll,(275, 13),xgb,100,9.873,8.0,sleep_minutes; bed_time; steps; awake_count; wo_calories,False,True
knn-intra,(224, 13),xgb,100,10.629,8.031,awake_count; wo_calories; steps; bed_time; sleep_minutes,False,True
knn-inter,(224, 13),xgb,100,10.071,8.321,awake_count; bed_time; steps; active_calories; wo_calories,False,True
baseline,(193, 13),xgb,100,15.0,1.0,awake_count; active_calories; wo_calories; sleep_minutes; active_minutes,False,True
kroll,(245, 13),xgb,100,9.0,2.0,awake_count; wo_calories; sleep_minutes; steps; floors,False,True
knn-intra,(193, 13),xgb,100,12.19,7.357,awake_count; wo_calories; active_calories; bed_time; distance_cycling,False,True
baseline,(224, 13),xgb,100,10.607,8.415,awake_count; bed_time; wo_calories; steps; sleep_minutes,False,True
kroll,(275, 13),xgb,100,11.622,9.044,bed_time; steps; wo_calories; active_calories; floors,False,True
knn-intra,(224, 13),xgb,100,10.366,8.094,awake_count; wo_calories; bed_time; steps; sleep_minutes,False,True
knn-inter,(224, 13),xgb,100,10.522,8.473,steps; bed_time; awake_count; sleep_minutes; active_calories,False,True
baseline,(193, 13),xgb,100,15.0,1.0,awake_count; active_calories; wo_calories; sleep_minutes; active_minutes,False,True
kroll,(245, 13),xgb,100,9.0,2.0,awake_count; wo_calories; sleep_minutes; steps; floors,False,True
knn-intra,(193, 13),xgb,100,12.19,7.357,awake_count; wo_calories; active_calories; bed_time; distance_cycling,False,True
knn-inter,(193, 13),xgb,100,9.713,7.831,active_calories; awake_count; sleep_minutes; bed_time; wo_calories,False,True
baseline,(224, 13),xgb,100,10.665,8.433,bed_time; wo_calories; steps; awake_count; sleep_minutes,False,True
baseline,(224, 13),xgb,100,13.018,10.857,steps; sleep_minutes; wo_calories; bed_time; awake_count,True,True
baseline,(193, 13),xgb,100,15.0,1.0,awake_count; active_calories; wo_calories; sleep_minutes; active_minutes,False,True
baseline,(224, 13),xgb,100,9.719,7.433,awake_count; wo_calories; sleep_minutes; bed_time; steps,False,True
kroll,(275, 13),xgb,100,10.436,8.578,wo_calories; awake_count; bed_time; steps; sleep_minutes,False,True
knn-intra,(224, 13),xgb,100,10.326,8.241,awake_count; wo_calories; bed_time; active_calories; sleep_minutes,False,True
knn-inter,(224, 13),xgb,100,10.438,7.621,steps; sleep_minutes; bed_time; awake_count; wo_calories,False,True
baseline,(193, 13),xgb,100,15.0,1.0,awake_count; active_calories; wo_calories; sleep_minutes; active_minutes,False,True
kroll,(245, 13),xgb,100,9.0,2.0,awake_count; wo_calories; sleep_minutes; steps; floors,False,True
knn-intra,(193, 13),xgb,100,12.19,7.357,awake_count; wo_calories; active_calories; bed_time; distance_cycling,False,True
knn-inter,(193, 13),xgb,100,9.713,7.831,active_calories; awake_count; sleep_minutes; bed_time; wo_calories,False,True
baseline,(224, 13),xgb,100,9.884,8.433,awake_count; steps; bed_time; active_minutes; sleep_minutes,False,True
baseline,(224, 13),xgb,100,12.96,9.384,steps; active_minutes; sleep_minutes; bed_time; awake_count,True,True
baseline,(224, 13),xgb,100,10.621,7.786,awake_count; bed_time; wo_calories; active_calories; steps,False,True
kroll,(275, 13),xgb,100,10.415,8.164,awake_count; bed_time; wo_calories; steps; active_minutes,False,True
